date,total_sales,dcoilwtico,transactions,day_of_week,year
2013-01-02,757.0,93.14,93215.0,Wednesday,2013
2013-01-03,534.0,92.97,78504.0,Thursday,2013
2013-01-04,673.0,93.12,78494.0,Friday,2013
2013-01-05,898.0,93.12,93573.0,Saturday,2013
2013-01-06,975.0,93.12,90464.0,Sunday,2013
2013-01-07,451.0,93.2,75597.0,Monday,2013
2013-01-08,500.0,93.21,72325.0,Tuesday,2013
2013-01-09,799.0,93.08,71971.0,Wednesday,2013
2013-01-10,645.0,93.81,66383.0,Thursday,2013
2013-01-11,506.0,93.6,70338.0,Friday,2013
2013-01-12,796.0,93.6,85511.0,Saturday,2013
2013-01-13,834.0,93.6,86306.0,Sunday,2013
2013-01-14,639.0,94.27,70078.0,Monday,2013
2013-01-15,724.0,93.26,71134.0,Tuesday,2013
2013-01-16,803.0,94.28,72471.0,Wednesday,2013
2013-01-17,495.0,95.49,68873.0,Thursday,2013
2013-01-18,681.0,95.61,71371.0,Friday,2013
2013-01-19,990.0,95.61,88558.0,Saturday,2013
2013-01-20,690.0,95.61,85281.0,Sunday,2013
2013-01-21,489.0,95.61,73250.0,Monday,2013
2013-01-22,454.0,96.09,68988.0,Tuesday,2013
2013-01-23,951.0,95.06,69819.0,Wednesday,2013
2013-01-24,604.0,95.35,63705.0,Thursday,2013
2013-01-25,547.0,95.15,71273.0,Friday,2013
2013-01-26,792.0,95.15,88022.0,Saturday,2013
2013-01-27,720.0,95.15,83304.0,Sunday,2013
2013-01-28,570.0,95.95,70389.0,Monday,2013
2013-01-29,550.0,97.62,68435.0,Tuesday,2013
2013-01-30,680.0,97.98,70888.0,Wednesday,2013
2013-01-31,436.0,97.65,70268.0,Thursday,2013
2013-02-01,824.0,97.46,78302.0,Friday,2013
2013-02-02,950.0,97.46,97347.0,Saturday,2013
2013-02-03,1032.0,97.46,87026.0,Sunday,2013
2013-02-04,847.0,96.21,75330.0,Monday,2013
2013-02-05,625.0,96.68,76206.0,Tuesday,2013
2013-02-06,653.0,96.44,75291.0,Wednesday,2013
2013-02-07,749.0,95.84,72789.0,Thursday,2013
2013-02-08,745.0,95.71,79726.0,Friday,2013
2013-02-09,770.0,95.71,90342.0,Saturday,2013
2013-02-10,579.0,95.71,69963.0,Sunday,2013
2013-02-11,695.0,97.01,67222.0,Monday,2013
2013-02-12,558.0,97.48,71808.0,Tuesday,2013
2013-02-13,953.0,97.03,80098.0,Wednesday,2013
2013-02-14,708.0,97.3,88681.0,Thursday,2013
2013-02-15,727.0,95.95,75789.0,Friday,2013
2013-02-16,804.0,95.95,92816.0,Saturday,2013
2013-02-17,768.0,95.95,77449.0,Sunday,2013
2013-02-18,711.0,95.95,76437.0,Monday,2013
2013-02-19,518.0,96.69,70645.0,Tuesday,2013
2013-02-20,893.0,94.92,73812.0,Wednesday,2013
2013-02-21,601.0,92.79,68246.0,Thursday,2013
2013-02-22,332.0,93.12,70914.0,Friday,2013
2013-02-23,1061.0,93.12,88390.0,Saturday,2013
2013-02-24,924.0,93.12,84125.0,Sunday,2013
2013-02-25,670.0,92.74,72167.0,Monday,2013
2013-02-26,646.0,92.63,68706.0,Tuesday,2013
2013-02-27,688.0,92.84,70170.0,Wednesday,2013
2013-02-28,631.0,92.03,69818.0,Thursday,2013
2013-03-01,931.0,90.71,79524.0,Friday,2013
2013-03-02,746.0,90.71,98616.0,Saturday,2013
2013-03-03,782.0,90.71,92716.0,Sunday,2013
2013-03-04,743.0,90.13,79078.0,Monday,2013
2013-03-05,608.0,90.88,75134.0,Tuesday,2013
2013-03-06,852.0,90.47,76519.0,Wednesday,2013
2013-03-07,658.0,91.53,73910.0,Thursday,2013
2013-03-08,771.0,92.01,78231.0,Friday,2013
2013-03-09,804.0,92.01,92462.0,Saturday,2013
2013-03-10,798.0,92.01,86322.0,Sunday,2013
2013-03-11,606.0,92.07,75161.0,Monday,2013
2013-03-12,526.0,92.44,69346.0,Tuesday,2013
2013-03-13,702.0,92.47,72010.0,Wednesday,2013
2013-03-14,646.0,93.03,67393.0,Thursday,2013
2013-03-15,790.0,93.49,75533.0,Friday,2013
2013-03-16,936.0,93.49,91900.0,Saturday,2013
2013-03-17,816.0,93.49,89346.0,Sunday,2013
2013-03-18,578.0,93.71,74418.0,Monday,2013
2013-03-19,600.0,92.44,71841.0,Tuesday,2013
2013-03-20,792.0,93.21,74145.0,Wednesday,2013
2013-03-21,523.0,92.46,69157.0,Thursday,2013
2013-03-22,665.0,93.41,71990.0,Friday,2013
2013-03-23,912.0,93.41,91923.0,Saturday,2013
2013-03-24,788.0,93.41,83439.0,Sunday,2013
2013-03-25,646.0,94.55,72992.0,Monday,2013
2013-03-26,563.0,95.99,68469.0,Tuesday,2013
2013-03-27,577.0,96.53,74049.0,Wednesday,2013
2013-03-28,913.0,97.24,82104.0,Thursday,2013
2013-03-29,551.0,97.24,77781.0,Friday,2013
2013-03-30,596.0,97.24,90611.0,Saturday,2013
2013-03-31,845.0,97.24,82563.0,Sunday,2013
2013-04-01,910.0,97.1,81678.0,Monday,2013
2013-04-02,758.0,97.23,77165.0,Tuesday,2013
2013-04-03,653.0,95.02,78534.0,Wednesday,2013
2013-04-04,576.0,93.26,72217.0,Thursday,2013
2013-04-05,613.0,92.76,74928.0,Friday,2013
2013-04-06,904.0,92.76,94844.0,Saturday,2013
2013-04-07,1034.0,92.76,89183.0,Sunday,2013
2013-04-08,690.0,93.36,75161.0,Monday,2013
2013-04-09,478.0,94.18,71416.0,Tuesday,2013
2013-04-10,575.0,94.59,73989.0,Wednesday,2013
2013-04-11,789.0,93.44,71907.0,Thursday,2013
2013-04-12,540.0,91.23,75403.0,Friday,2013
2013-04-13,1137.0,91.23,92166.0,Saturday,2013
2013-04-14,747.0,91.23,86803.0,Sunday,2013
2013-04-15,771.0,88.75,76251.0,Monday,2013
2013-04-16,645.0,88.73,74187.0,Tuesday,2013
2013-04-17,608.0,86.65,74529.0,Wednesday,2013
2013-04-18,459.0,87.83,68343.0,Thursday,2013
2013-04-19,584.0,88.04,73119.0,Friday,2013
2013-04-20,669.0,88.04,92014.0,Saturday,2013
2013-04-21,749.0,88.04,87401.0,Sunday,2013
2013-04-22,870.0,88.81,75157.0,Monday,2013
2013-04-23,555.0,89.21,71657.0,Tuesday,2013
2013-04-24,489.0,91.07,73003.0,Wednesday,2013
2013-04-25,861.0,93.27,68917.0,Thursday,2013
2013-04-26,708.0,92.63,72813.0,Friday,2013
2013-04-27,625.0,92.63,89825.0,Saturday,2013
2013-04-28,779.0,92.63,86773.0,Sunday,2013
2013-04-29,730.0,94.09,72009.0,Monday,2013
2013-04-30,649.0,93.22,73513.0,Tuesday,2013
2013-05-01,990.0,90.74,90548.0,Wednesday,2013
2013-05-02,931.0,93.7,73639.0,Thursday,2013
2013-05-03,572.0,95.25,76685.0,Friday,2013
2013-05-04,825.0,95.25,96689.0,Saturday,2013
2013-05-05,1203.0,95.25,95212.0,Sunday,2013
2013-05-06,691.0,95.8,76383.0,Monday,2013
2013-05-07,969.0,95.28,72563.0,Tuesday,2013
2013-05-08,434.0,96.24,74802.0,Wednesday,2013
2013-05-09,918.0,96.09,75025.0,Thursday,2013
2013-05-10,865.0,95.81,80282.0,Friday,2013
2013-05-11,1465.0,95.81,111484.0,Saturday,2013
2013-05-12,801.0,95.81,89790.0,Sunday,2013
2013-05-13,942.0,94.76,75625.0,Monday,2013
2013-05-14,881.0,93.96,71589.0,Tuesday,2013
2013-05-15,952.0,93.95,74401.0,Wednesday,2013
2013-05-16,955.0,94.85,71287.0,Thursday,2013
2013-05-17,655.0,95.72,74705.0,Friday,2013
2013-05-18,1125.0,95.72,91973.0,Saturday,2013
2013-05-19,1492.0,95.72,89031.0,Sunday,2013
2013-05-20,653.0,96.29,74613.0,Monday,2013
2013-05-21,559.0,95.55,70601.0,Tuesday,2013
2013-05-22,698.0,93.98,71763.0,Wednesday,2013
2013-05-23,643.0,94.12,70843.0,Thursday,2013
2013-05-24,879.0,93.84,78945.0,Friday,2013
2013-05-25,828.0,93.84,85230.0,Saturday,2013
2013-05-26,1028.0,93.84,81869.0,Sunday,2013
2013-05-27,918.0,93.84,72144.0,Monday,2013
2013-05-28,543.0,94.65,71801.0,Tuesday,2013
2013-05-29,803.0,93.13,73970.0,Wednesday,2013
2013-05-30,608.0,93.57,77052.0,Thursday,2013
2013-05-31,744.0,91.93,76921.0,Friday,2013
2013-06-01,1047.0,91.93,101740.0,Saturday,2013
2013-06-02,1385.0,91.93,98018.0,Sunday,2013
2013-06-03,926.0,93.41,80648.0,Monday,2013
2013-06-04,816.0,93.36,76213.0,Tuesday,2013
2013-06-05,712.0,93.66,77605.0,Wednesday,2013
2013-06-06,704.0,94.71,72282.0,Thursday,2013
2013-06-07,576.0,96.11,79014.0,Friday,2013
2013-06-08,894.0,96.11,89783.0,Saturday,2013
2013-06-09,979.0,96.11,89751.0,Sunday,2013
2013-06-10,774.0,95.82,74546.0,Monday,2013
2013-06-11,672.0,95.5,68636.0,Tuesday,2013
2013-06-12,558.0,95.98,73386.0,Wednesday,2013
2013-06-13,521.0,96.66,69703.0,Thursday,2013
2013-06-14,763.0,97.83,76434.0,Friday,2013
2013-06-15,910.0,97.83,102541.0,Saturday,2013
2013-06-16,1470.0,97.83,87839.0,Sunday,2013
2013-06-17,891.0,97.86,76236.0,Monday,2013
2013-06-18,848.0,98.46,73179.0,Tuesday,2013
2013-06-19,871.0,98.24,68613.0,Wednesday,2013
2013-06-20,571.0,94.89,69984.0,Thursday,2013
2013-06-21,659.0,93.81,73717.0,Friday,2013
2013-06-22,870.0,93.81,88681.0,Saturday,2013
2013-06-23,1535.0,93.81,86152.0,Sunday,2013
2013-06-24,898.0,95.07,73403.0,Monday,2013
2013-06-25,798.0,95.25,70549.0,Tuesday,2013
2013-06-26,666.0,95.47,71009.0,Wednesday,2013
2013-06-27,635.0,97.0,67340.0,Thursday,2013
2013-06-28,617.0,96.36,74172.0,Friday,2013
2013-06-29,1336.0,96.36,93531.0,Saturday,2013
2013-06-30,1320.0,96.36,87501.0,Sunday,2013
2013-07-01,799.0,97.94,81850.0,Monday,2013
2013-07-02,655.0,99.65,79187.0,Tuesday,2013
2013-07-03,1043.0,101.92,78437.0,Wednesday,2013
2013-07-04,975.0,101.92,75664.0,Thursday,2013
2013-07-05,758.0,103.09,77710.0,Friday,2013
2013-07-06,873.0,103.09,92132.0,Saturday,2013
2013-07-07,1143.0,103.09,87219.0,Sunday,2013
2013-07-08,795.0,103.03,77464.0,Monday,2013
2013-07-09,829.0,103.46,73041.0,Tuesday,2013
2013-07-10,556.0,106.41,73319.0,Wednesday,2013
2013-07-11,670.0,104.77,68662.0,Thursday,2013
2013-07-12,497.0,105.85,73261.0,Friday,2013
2013-07-13,1166.0,105.85,88063.0,Saturday,2013
2013-07-14,1083.0,105.85,81622.0,Sunday,2013
2013-07-15,1071.0,106.2,76717.0,Monday,2013
2013-07-16,804.0,105.88,75755.0,Tuesday,2013
2013-07-17,860.0,106.39,73859.0,Wednesday,2013
2013-07-18,406.0,107.94,69399.0,Thursday,2013
2013-07-19,565.0,108.0,73231.0,Friday,2013
2013-07-20,1084.0,108.0,87653.0,Saturday,2013
2013-07-21,1075.0,108.0,80799.0,Sunday,2013
2013-07-22,852.0,106.61,75771.0,Monday,2013
2013-07-23,602.0,107.13,73650.0,Tuesday,2013
2013-07-24,690.0,105.41,72876.0,Wednesday,2013
2013-07-25,800.0,105.47,70760.0,Thursday,2013
2013-07-26,822.0,104.76,74270.0,Friday,2013
2013-07-27,677.0,104.76,86632.0,Saturday,2013
2013-07-28,1154.0,104.76,79729.0,Sunday,2013
2013-07-29,659.0,104.61,72911.0,Monday,2013
2013-07-30,636.0,103.14,72512.0,Tuesday,2013
2013-07-31,1405.0,105.1,77813.0,Wednesday,2013
2013-08-01,1086.0,107.93,78740.0,Thursday,2013
2013-08-02,848.0,106.94,79127.0,Friday,2013
2013-08-03,1389.0,106.94,93926.0,Saturday,2013
2013-08-04,1102.0,106.94,86805.0,Sunday,2013
2013-08-05,865.0,106.61,82080.0,Monday,2013
2013-08-06,992.0,105.32,77927.0,Tuesday,2013
2013-08-07,844.0,104.41,77426.0,Wednesday,2013
2013-08-08,676.0,103.45,72592.0,Thursday,2013
2013-08-09,1434.0,106.04,77361.0,Friday,2013
2013-08-10,1352.0,106.04,85444.0,Saturday,2013
2013-08-11,1399.0,106.04,80268.0,Sunday,2013
2013-08-12,702.0,106.19,76317.0,Monday,2013
2013-08-13,716.0,106.78,74660.0,Tuesday,2013
2013-08-14,771.0,106.89,74211.0,Wednesday,2013
2013-08-15,770.0,107.43,74220.0,Thursday,2013
2013-08-16,930.0,107.58,79668.0,Friday,2013
2013-08-17,1249.0,107.58,88888.0,Saturday,2013
2013-08-18,1506.0,107.58,83247.0,Sunday,2013
2013-08-19,1323.0,107.14,77100.0,Monday,2013
2013-08-20,663.0,104.9,76629.0,Tuesday,2013
2013-08-21,902.0,103.93,76613.0,Wednesday,2013
2013-08-22,622.0,104.93,71220.0,Thursday,2013
2013-08-23,982.0,106.48,75844.0,Friday,2013
2013-08-24,1046.0,106.48,87502.0,Saturday,2013
2013-08-25,1140.0,106.48,82558.0,Sunday,2013
2013-08-26,653.0,105.88,76173.0,Monday,2013
2013-08-27,689.0,109.11,73568.0,Tuesday,2013
2013-08-28,558.0,110.17,74979.0,Wednesday,2013
2013-08-29,504.0,108.51,71897.0,Thursday,2013
2013-08-30,1126.0,107.98,77749.0,Friday,2013
2013-08-31,1796.0,107.98,96400.0,Saturday,2013
2013-09-01,1625.0,107.98,95871.0,Sunday,2013
2013-09-02,1200.0,107.98,84388.0,Monday,2013
